id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm
26316-C-001;;Saint Martin le colonel - Village;;Saint-Martin-le-Colonel;26316;Auto-stop;13/06/2019;True;810157982.0;5.2724183;44.9863473;;;;;;True;
60587-C-001;;Bacs de Tri;D1017;Saint-Martin-Longueau;60587;Auto-stop;30/08/2019;True;810157982.0;2.6058601;49.3411819;;;;;;True;
34276-C-001;;Avenue de Montpellier;"Arrêt de bus ""Avenue de Montpellier"", D17";Saint-Mathieu-de-Treviers;34276;Auto-stop;17/10/2017;True;810157982.0;3.865836;43.765186;;;;;;True;
91568-C-001;;Saint-Maurice MAIRIE;Place de l'église;Saint-Maurice-Montcouronne;91568;Auto-stop;10/09/2018;True;810157982.0;2.123634;48.581136;;;;;;False;
45292-C-001;;Place centrale (arrêt double-sens);1 route de Château-Renard;Saint-Maurice-sur-Aveyron;45292;Auto-stop;20/06/2019;True;810157982.0;2.9273331;47.8524741;;;;;;True;
45293-C-001;;Route d'Orléans 1;133 Route d’Orléans;Saint-Maurice-sur-Fessard;45293;Auto-stop;09/06/2021;True;810157982.0;2.6245445;47.9939012;;;;;;True;
60589-C-001;;Vieux Moulin;RD162;Saint-Maximin;60589;Auto-stop;17/06/2019;True;810157982.0;2.455445;49.2234694;;;;;;True;
38426-C-001;;Mairie;;Saint-Maximin;38426;Auto-stop;26/11/2018;True;810157982.0;6.037816;45.428601;;;;;;False;
81265-C-001;;Intersection D9/D91;Intersection D9/D91;Saint-Michel-de-Vax;81265;Auto-stop;17/10/2017;True;810157982.0;1.795831;44.10233;;;;;;False;
62762-C-001;;SAINT MICHEL SOUS BOIS_1;Rue Principale;Saint-Michel-sous-Bois;62762;Auto-stop;28/11/2019;True;810157982.0;1.93336;50.51406;;;;;;True;
08392-C-001;;Roland Garros;9  rue Roland Garros;Saint-Morel;8392;Auto-stop;22/07/2020;True;810157982.0;4.6953728;49.3375737;;;;;;False;
38430-C-001;;La Palud;;Saint-Mury-Monteymond;38430;Auto-stop;27/04/2018;True;810157982.0;5.928266;45.220087;;;;;;False;
82167-C-001;;Bellegarde;Route de Monclar de Quercy;Saint-Nauphary;82167;Auto-stop;17/10/2017;True;810157982.0;1.4535134;43.9801829;;;;;;False;
38433-C-001;;Saint Nizier Guillets;;Saint-Nizier-du-Moucherotte;38433;Auto-stop;01/08/2019;True;810157982.0;5.6394571;45.1742532;;;;;;True;
17376-C-001;;SALLE DES FETES;;Saint-Ouen-d'Aunis;17376;Auto-stop;04/09/2020;True;810157982.0;-1.035026;46.224779;;;;;;True;
37230-C-001;;Parking nord;13 rue Jules Gautier;Saint-Ouen-les-Vignes;37230;Auto-stop;01/07/2020;True;810157982.0;0.9937033;47.4691763;;;;;;True;
73266-C-001;;Saint-Oyen;;Saint-Oyen;73266;Auto-stop;17/10/2017;True;810157982.0;6.4853296;45.5039419;;;;;;False;
17378-C-001;;Eglise;Face Eglise;Saint-Palais-de-Negrignac;17378;Auto-stop;11/02/2020;True;810157982.0;-0.225922;45.266619;;;;;;True;
17379-C-001;;Mairie;;Saint-Palais-de-Phiolin;17379;Auto-stop;27/01/2020;True;810157982.0;-0.59861;45.51711;;;;;;True;
38435-C-001;;Les Meunières;;Saint-Pancrasse;38435;Auto-stop;17/10/2017;True;810157982.0;5.85126;45.29007;;;;;;False;
19228-C-001;;Parking du Gour Noir;Le Bourg;Saint-Pantaleon-de-Lapleau;19228;Auto-stop;17/10/2017;True;810157982.0;2.20506;45.324343;;;;;;True;
